,Date,year,Month,Weak,Count
23672,2014-12-13,2014,12,Saturday,14
20107,2014-12-13,2014,12,Saturday,14
21836,2014-12-13,2014,12,Saturday,14
4001,2014-12-13,2014,12,Saturday,14
1378,2014-12-13,2014,12,Saturday,14
2751,2014-12-13,2014,12,Saturday,14
15781,2014-12-13,2014,12,Saturday,14
29705,2014-12-13,2014,12,Saturday,14
27253,2014-12-13,2014,12,Saturday,14
24881,2014-12-13,2014,12,Saturday,14
13319,2014-12-13,2014,12,Saturday,14
8836,2014-12-14,2014,12,Sunday,15
16028,2014-12-14,2014,12,Sunday,15
22676,2014-12-14,2014,12,Sunday,15
27976,2014-12-14,2014,12,Sunday,15
24039,2014-12-14,2014,12,Sunday,15
20012,2014-12-14,2014,12,Sunday,15
14554,2014-12-14,2014,12,Sunday,15
18630,2014-12-14,2014,12,Sunday,15
11103,2014-12-14,2014,12,Sunday,15
12260,2014-12-14,2014,12,Sunday,15
11315,2014-12-14,2014,12,Sunday,15
5758,2014-12-14,2014,12,Sunday,15
12222,2014-12-14,2014,12,Sunday,15
14615,2014-12-14,2014,12,Sunday,15
15139,2014-12-14,2014,12,Sunday,15
2982,2014-12-15,2014,12,Monday,8
24356,2014-12-15,2014,12,Monday,8
615,2014-12-15,2014,12,Monday,8
14680,2014-12-15,2014,12,Monday,8
3589,2014-12-15,2014,12,Monday,8
681,2014-12-15,2014,12,Monday,8
26444,2014-12-15,2014,12,Monday,8
12053,2014-12-15,2014,12,Monday,8
22387,2014-12-16,2014,12,Tuesday,4
20227,2014-12-16,2014,12,Tuesday,4
30500,2014-12-16,2014,12,Tuesday,4
14276,2014-12-16,2014,12,Tuesday,4
19715,2014-12-17,2014,12,Wednesday,5
28631,2014-12-17,2014,12,Wednesday,5
1605,2014-12-17,2014,12,Wednesday,5
24011,2014-12-17,2014,12,Wednesday,5
19800,2014-12-17,2014,12,Wednesday,5
19959,2014-12-18,2014,12,Thursday,7
6885,2014-12-18,2014,12,Thursday,7
5752,2014-12-18,2014,12,Thursday,7
13898,2014-12-18,2014,12,Thursday,7
13414,2014-12-18,2014,12,Thursday,7
7664,2014-12-18,2014,12,Thursday,7
23210,2014-12-18,2014,12,Thursday,7
7128,2014-12-19,2014,12,Friday,5
16994,2014-12-19,2014,12,Friday,5
10178,2014-12-19,2014,12,Friday,5
19237,2014-12-19,2014,12,Friday,5
29745,2014-12-19,2014,12,Friday,5
24427,2014-12-20,2014,12,Saturday,6
4777,2014-12-20,2014,12,Saturday,6
3603,2014-12-20,2014,12,Saturday,6
28772,2014-12-20,2014,12,Saturday,6
30681,2014-12-20,2014,12,Saturday,6
25497,2014-12-20,2014,12,Saturday,6
13893,2014-12-21,2014,12,Sunday,7
12895,2014-12-21,2014,12,Sunday,7
23514,2014-12-21,2014,12,Sunday,7
25065,2014-12-21,2014,12,Sunday,7
5573,2014-12-21,2014,12,Sunday,7
14537,2014-12-21,2014,12,Sunday,7
8279,2014-12-21,2014,12,Sunday,7
4480,2014-12-22,2014,12,Monday,3
10123,2014-12-22,2014,12,Monday,3
28726,2014-12-22,2014,12,Monday,3
27851,2014-12-23,2014,12,Tuesday,3
20596,2014-12-23,2014,12,Tuesday,3
1680,2014-12-23,2014,12,Tuesday,3
29062,2014-12-24,2014,12,Wednesday,3
5593,2014-12-24,2014,12,Wednesday,3
5366,2014-12-24,2014,12,Wednesday,3
29122,2014-12-25,2014,12,Thursday,3
1913,2014-12-25,2014,12,Thursday,3
27406,2014-12-25,2014,12,Thursday,3
11318,2014-12-26,2014,12,Friday,3
13087,2014-12-26,2014,12,Friday,3
24288,2014-12-26,2014,12,Friday,3
1157,2014-12-27,2014,12,Saturday,8
13992,2014-12-27,2014,12,Saturday,8
30231,2014-12-27,2014,12,Saturday,8
15925,2014-12-27,2014,12,Saturday,8
5993,2014-12-27,2014,12,Saturday,8
