,Date,year,Month,Weak,Count
124,2015-10-21,2015,10,Wednesday,1
128,2018-05-13,2018,5,Sunday,1
130,2014-11-18,2014,11,Tuesday,1
131,2015-05-26,2015,5,Tuesday,1
133,2015-03-02,2015,3,Monday,1
134,2016-11-03,2016,11,Thursday,1
140,2016-05-29,2016,5,Sunday,1
142,2015-05-30,2015,5,Saturday,1
143,2018-03-02,2018,3,Friday,1
144,2015-05-06,2015,5,Wednesday,1
145,2017-10-21,2017,10,Saturday,1
146,2017-07-22,2017,7,Saturday,1
148,2015-05-11,2015,5,Monday,1
149,2016-08-21,2016,8,Sunday,1
150,2015-10-10,2015,10,Saturday,1
151,2016-04-03,2016,4,Sunday,1
152,2015-12-08,2015,12,Tuesday,1
153,2017-04-03,2017,4,Monday,1
155,2015-07-02,2015,7,Thursday,1
156,2017-01-30,2017,1,Monday,1
157,2016-02-07,2016,2,Sunday,1
158,2016-03-20,2016,3,Sunday,1
159,2015-09-03,2015,9,Thursday,1
160,2016-03-28,2016,3,Monday,1
161,2015-10-10,2015,10,Saturday,1
163,2016-03-27,2016,3,Sunday,1
164,2016-02-04,2016,2,Thursday,1
165,2016-07-27,2016,7,Wednesday,1
166,2016-05-25,2016,5,Wednesday,1
167,2015-01-11,2015,1,Sunday,1
168,2016-06-19,2016,6,Sunday,1
170,2015-11-11,2015,11,Wednesday,1
171,2017-07-03,2017,7,Monday,1
172,2018-04-12,2018,4,Thursday,1
174,2016-04-14,2016,4,Thursday,1
176,2018-05-13,2018,5,Sunday,1
177,2015-03-30,2015,3,Monday,1
180,2016-07-12,2016,7,Tuesday,1
183,2016-11-26,2016,11,Saturday,1
184,2017-06-09,2017,6,Friday,1
185,2018-01-26,2018,1,Friday,1
186,2015-01-03,2015,1,Saturday,1
188,2016-03-06,2016,3,Sunday,1
189,2015-01-28,2015,1,Wednesday,1
190,2014-12-29,2014,12,Monday,1
191,2017-01-04,2017,1,Wednesday,1
192,2016-05-18,2016,5,Wednesday,1
194,2018-06-05,2018,6,Tuesday,1
197,2014-11-06,2014,11,Thursday,1
198,2016-10-08,2016,10,Saturday,1
199,2016-01-16,2016,1,Saturday,1
200,2015-04-01,2015,4,Wednesday,1
201,2017-05-14,2017,5,Sunday,1
202,2017-11-01,2017,11,Wednesday,1
203,2015-11-04,2015,11,Wednesday,1
204,2015-10-22,2015,10,Thursday,1
205,2015-08-04,2015,8,Tuesday,1
207,2015-05-23,2015,5,Saturday,1
208,2015-10-04,2015,10,Sunday,1
209,2016-04-12,2016,4,Tuesday,1
211,2015-03-18,2015,3,Wednesday,1
212,2015-06-02,2015,6,Tuesday,1
213,2016-03-12,2016,3,Saturday,1
214,2017-03-28,2017,3,Tuesday,1
215,2016-12-15,2016,12,Thursday,1
216,2015-05-02,2015,5,Saturday,1
218,2016-07-31,2016,7,Sunday,1
220,2016-04-11,2016,4,Monday,1
221,2016-01-17,2016,1,Sunday,1
222,2017-02-28,2017,2,Tuesday,1
225,2015-04-16,2015,4,Thursday,1
226,2015-11-03,2015,11,Tuesday,1
227,2018-03-31,2018,3,Saturday,1
228,2016-01-09,2016,1,Saturday,1
230,2017-08-11,2017,8,Friday,1
231,2016-04-23,2016,4,Saturday,1
232,2015-07-01,2015,7,Wednesday,1
233,2015-04-11,2015,4,Saturday,1
235,2015-03-27,2015,3,Friday,1
237,2015-05-23,2015,5,Saturday,1
238,2015-10-25,2015,10,Sunday,1
240,2015-05-16,2015,5,Saturday,1
241,2015-06-08,2015,6,Monday,1
245,2016-07-18,2016,7,Monday,1
246,2018-06-06,2018,6,Wednesday,1
247,2016-02-08,2016,2,Monday,1
248,2015-08-27,2015,8,Thursday,1
251,2015-07-30,2015,7,Thursday,1
